"","id","lat","lon"
"254",72564285,40.9085,-103.9268
"255",72564286,40.9073,-103.9294
"256",72564287,40.906,-103.9322
"257",72564288,40.9057,-103.9384
"258",72564289,40.9045,-103.942
"259",72564290,40.9037,-103.9449
"260",72564291,40.8997,-103.9403
"261",72564292,40.8983,-103.9424
"262",72564293,40.8971,-103.9445
"263",72564294,40.9057,-103.9132
"264",72564295,40.9041,-103.9152
"265",72564296,40.902,-103.9168
"266",72564297,40.9002,-103.9178
"267",72564298,40.8981,-103.9194
"268",72564299,40.8968,-103.9212
"269",72564300,40.8996,-103.9262
"270",72564301,40.8982,-103.9277
"271",72564302,40.8967,-103.9294
"272",72564303,40.876,-103.9153
"273",72564304,40.8751,-103.9179
"274",72564305,40.8742,-103.9208
