Longitude,Latitude,Serv_ID
-105.200,40.179,170
-105.206,40.106,171
-105.202,40.106,172
-105.199,40.177,173
-105.240,40.169,174
-105.197,40.364,175
-105.207,40.490,176
-105.206,40.478,177
-105.197,40.590,178
-105.198,40.106,179
-105.205,40.377,180
-105.203,40.451,181
-105.203,40.490,182
-105.207,40.095,183
-105.204,40.355,184
-105.203,40.351,185
-105.203,40.107,186
-105.203,40.541,187
-105.203,40.107,188
-105.240,40.271,190
-105.205,40.163,191
-105.202,40.103,192
-105.201,40.107,193
-105.205,40.759,194
-105.200,40.478,195
-105.198,40.440,197
-105.197,40.497,198
-105.206,40.303,199
-105.196,40.434,200
-105.201,40.483,201
-105.200,40.478,202
-105.202,40.106,203
-105.056,40.235,204
-105.202,40.108,205
-105.183,40.352,207
-105.240,40.105,211
-105.288,40.130,212
-105.288,40.205,213
-105.219,40.380,216
-105.193,40.178,218
-105.280,40.302,219
-105.277,40.360,220
-105.259,40.374,223
-105.279,40.201,224
-105.279,40.147,225
-105.184,40.354,226
-105.183,40.340,227
-105.197,40.437,229
-105.311,40.462,230
-105.274,40.218,232
-105.266,40.291,233
-105.288,40.553,234
-105.286,40.304,235
-105.286,40.113,236
-105.280,40.646,237
-105.279,40.361,238
-105.279,40.147,239
-105.275,40.362,240
-105.275,40.205,241
-105.249,40.551,242
-105.269,40.623,243
-105.270,40.286,245
-105.181,40.519,246
-105.275,40.147,247
-105.278,40.366,248
-105.275,40.361,249
-105.249,40.102,250
-105.275,40.361,251
-105.207,40.114,252
-105.281,40.201,253
-105.278,40.135,254
-105.258,40.144,255
-105.291,40.137,258
-105.277,40.212,260
-105.276,40.288,261
-105.187,40.444,262
-105.261,40.624,264
-105.206,40.107,265
-105.181,40.519,266
-105.308,40.122,267
-105.275,40.137,268
-105.274,40.951,269
-105.182,40.519,270
-105.189,40.428,271
-105.267,40.362,272
-104.955,40.379,273
-105.249,40.273,274
-105.252,40.248,275
-105.241,40.507,278
-105.237,40.117,279
-105.258,40.261,280
-105.213,40.481,281
-105.166,40.517,282
-104.989,40.392,283
-105.183,40.322,284
-105.261,40.117,285
-105.252,40.116,286
-105.167,40.693,287
-105.237,40.117,288
-105.237,40.504,289
-105.234,40.526,290
-105.239,40.171,291
-105.284,40.612,292
-105.169,40.116,293
-105.167,40.376,294
-105.167,40.265,295
-105.261,40.145,296
-105.026,40.346,297
-105.183,40.117,298
-105.241,40.118,299
-105.248,40.630,300
-105.241,40.571,301
-105.181,40.522,302
-105.284,40.645,303
-105.182,40.520,304
-105.293,40.119,305
-105.261,40.119,306
-105.260,40.286,307
-105.165,40.373,309
-105.258,40.285,310
-105.235,40.449,312
-105.261,40.265,315
-105.295,40.124,316
-105.238,40.628,317
-105.207,40.481,318
-105.208,40.121,319
-105.218,40.609,320
-105.284,40.306,321
-105.270,40.608,324
-105.262,40.145,325
-105.273,40.130,326
-105.182,40.391,331
-105.261,40.113,332
-105.267,40.971,333
-105.186,40.300,334
-105.287,40.268,335
-105.183,40.123,337
-105.236,40.102,338
-104.809,40.406,339
-105.291,40.260,341
-105.294,40.129,342
-105.296,40.133,343
-105.261,40.120,344
-105.254,40.513,345
-105.206,40.392,346
-105.170,40.284,347
-105.295,40.124,348
-105.293,40.118,349
-105.292,40.126,350
-105.174,40.383,351
-105.170,40.523,352
-105.171,40.310,353
-105.169,40.524,354
-105.170,40.352,355
-105.263,40.516,356
-105.291,40.141,357
-105.295,40.125,358
-105.293,40.124,359
-105.282,40.124,360
-105.282,40.365,361
-105.293,40.126,362
-105.293,40.128,363
-105.230,40.256,365
-105.291,40.132,366
-105.289,40.141,367
-105.291,40.141,368
-105.164,40.655,369
-105.296,40.126,370
-105.291,40.135,371
-105.291,40.125,372
-105.295,40.119,373
-105.295,40.125,374
-105.228,40.304,375
-105.188,40.599,376
-105.291,40.136,377
-105.289,40.136,378
-105.289,40.134,379
-105.256,40.292,380
-105.295,40.124,381
-105.295,40.125,382
-105.292,40.129,383
-105.166,40.659,384
-105.296,40.125,385
-105.285,40.126,386
-105.230,40.125,387
-105.292,40.123,388
-105.295,40.126,389
-105.296,40.127,390
-105.188,40.180,391
-105.293,40.124,392
-105.256,40.624,393
-105.293,40.124,395
-105.295,40.128,396
-105.296,40.124,397
-105.292,40.126,398
-105.292,40.127,399
-105.297,40.133,400
-105.184,40.442,401
-105.290,40.132,402
-105.290,40.127,403
-105.295,40.126,404
-105.295,40.127,405
-105.217,40.127,406
-105.217,40.127,407
-105.295,40.130,408
-105.314,40.402,410
-105.218,40.548,411
-105.264,40.128,412
-105.182,40.379,413
-105.164,40.264,414
-104.894,40.443,415
-105.303,40.128,416
-105.226,40.302,417
-105.292,40.131,418
-105.292,40.128,419
-105.222,40.358,421
-105.294,40.128,422
-105.164,40.654,424
-105.296,40.126,426
-105.282,40.198,427
-105.207,40.099,428
-105.263,40.129,429
-105.219,40.129,431
-105.290,40.149,432
-105.293,40.126,433
-105.292,40.130,434
-105.291,40.129,435
-105.283,40.139,436
-105.221,40.128,437
-105.289,40.124,438
-105.293,40.130,439
-105.292,40.125,440
-105.298,40.119,441
-105.291,40.137,442
-105.295,40.126,444
-105.287,40.134,445
-105.291,40.141,447
-105.295,40.126,448
-105.276,40.201,449
-105.175,40.216,450
-105.225,40.102,451
-105.221,40.130,452
-105.285,40.198,453
-105.306,40.129,454
-105.272,40.601,455
-105.222,40.129,456
-104.933,40.350,457
-105.217,40.129,458
-105.218,40.305,459
-105.217,40.128,460
-105.281,40.204,461
-105.262,40.113,462
-105.227,40.492,463
-105.281,40.129,464
-105.222,40.129,465
-105.222,40.129,466
-105.287,40.645,467
-105.279,40.306,468
-105.291,40.138,469
-105.168,40.272,471
-105.294,40.130,472
-105.277,40.136,473
-105.298,40.118,474
-105.287,40.202,475
-105.274,40.129,477
-105.176,40.447,479
-104.792,40.383,480
-105.217,40.130,481
-105.216,40.615,482
-105.288,40.287,483
-105.229,40.318,484
-105.006,40.471,485
-105.293,40.128,486
-105.291,40.139,487
-105.295,40.129,490
-105.290,40.126,491
-105.286,40.315,492
-105.285,40.130,493
-105.274,40.213,494
-105.294,40.130,495
-105.291,40.124,496
-105.217,40.302,498
-105.292,40.127,499
-105.284,40.138,500
-105.176,40.132,504
-105.277,40.367,505
-105.282,40.356,506
-105.263,40.381,507
-105.175,40.520,508
-105.267,40.130,509
-105.180,40.444,511
-105.167,40.284,512
-105.171,40.124,513
-105.286,40.130,514
-105.285,40.209,515
-105.264,40.130,516
-105.227,40.189,517
-105.293,40.125,518
-105.292,40.118,519
-105.293,40.131,520
-105.084,40.622,521
-105.286,40.306,522
-105.206,40.356,523
-105.287,40.285,525
-105.291,40.125,526
-105.167,40.521,527
-105.165,40.359,528
-105.290,40.127,529
-105.287,40.202,531
-105.285,40.209,532
-105.225,40.102,533
-105.208,40.104,534
-105.177,40.489,536
-105.289,40.141,538
-105.289,40.136,539
-105.301,40.127,540
-105.289,40.141,541
-105.084,40.622,542
-105.217,40.127,545
-105.287,40.266,546
-105.297,40.133,547
-105.298,40.120,548
-105.287,40.133,549
-105.130,40.233,550
-105.356,40.282,551
-105.225,40.301,552
-105.220,40.484,553
-105.290,40.149,554
-105.290,40.125,555
-105.286,40.311,558
-105.283,40.140,559
-105.296,40.126,560
-105.287,40.137,561
-105.225,40.129,562
-105.220,40.492,563
-105.299,40.468,564
-105.291,40.129,567
-105.283,40.546,569
-105.283,40.370,570
-105.223,40.616,571
-105.289,40.126,572
-105.283,40.632,573
-105.210,40.293,574
-105.288,40.271,576
-105.291,40.134,578
-105.290,40.135,579
-105.291,40.125,580
-105.290,40.130,581
-105.263,40.135,582
-105.287,40.284,584
-105.287,40.135,585
-105.287,40.135,586
-105.212,40.135,587
-105.287,40.296,588
-105.288,40.312,589
-105.267,40.135,592
-105.166,40.521,593
